timestamp,city,stid,temp,trend_10m,trend_30m,trend_1h,acceleration
2026-01-29T17:15:00+00:00,tx,KAUS,59.0,6.48,5.0435,5.681,1.4365
2026-01-29T17:15:00+00:00,fl,KMIA,69.8,12.96,2.5934,3.3983,10.3666
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:10:00+00:00,il,KMDW,14.0,4.3633,3.1764,3.5578,1.1869
2026-01-29T17:15:00+00:00,tx,KAUS,59.0,6.48,5.0435,5.681,1.4365
2026-01-29T17:15:00+00:00,fl,KMIA,69.8,12.96,2.5934,3.3983,10.3666
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:10:00+00:00,il,KMDW,14.0,4.3633,3.1764,3.5578,1.1869
2026-01-29T17:15:00+00:00,tx,KAUS,59.0,6.48,5.0435,5.681,1.4365
2026-01-29T17:15:00+00:00,fl,KMIA,69.8,12.96,2.5934,3.3983,10.3666
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:25:00+00:00,il,KMDW,14.0,4.32,3.9211,3.3595,0.3989
2026-01-29T17:20:00+00:00,tx,KAUS,60.8,8.64,5.2388,5.5744,3.4012
2026-01-29T17:25:00+00:00,fl,KMIA,69.8,8.64,4.2785,3.6514,4.3615
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:25:00+00:00,il,KMDW,14.0,4.32,3.9211,3.3595,0.3989
2026-01-29T17:20:00+00:00,tx,KAUS,60.8,8.64,5.2388,5.5744,3.4012
2026-01-29T17:25:00+00:00,fl,KMIA,69.8,8.64,4.2785,3.6514,4.3615
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:25:00+00:00,il,KMDW,14.0,4.32,3.9211,3.3595,0.3989
2026-01-29T17:20:00+00:00,tx,KAUS,60.8,8.64,5.2388,5.5744,3.4012
2026-01-29T17:25:00+00:00,fl,KMIA,69.8,8.64,4.2785,3.6514,4.3615
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:25:00+00:00,il,KMDW,14.0,4.32,3.9211,3.3595,0.3989
2026-01-29T17:20:00+00:00,tx,KAUS,60.8,8.64,5.2388,5.5744,3.4012
2026-01-29T17:25:00+00:00,fl,KMIA,69.8,8.64,4.2785,3.6514,4.3615
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:25:00+00:00,tx,KAUS,60.8,6.48,5.8032,5.3165,0.6768
2026-01-29T17:30:00+00:00,fl,KMIA,69.8,-0.0,4.7567,3.6443,-4.7567
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:25:00+00:00,tx,KAUS,60.8,6.48,5.8032,5.3165,0.6768
2026-01-29T17:30:00+00:00,fl,KMIA,69.8,-0.0,4.7567,3.6443,-4.7567
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:25:00+00:00,tx,KAUS,60.8,6.48,5.8032,5.3165,0.6768
2026-01-29T17:30:00+00:00,fl,KMIA,69.8,-0.0,4.7567,3.6443,-4.7567
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:35:00+00:00,fl,KMIA,69.8,0.0,4.9767,3.5507,-4.9767
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:35:00+00:00,fl,KMIA,69.8,0.0,4.9767,3.5507,-4.9767
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:35:00+00:00,il,KMDW,14.0,0.0,3.2374,3.3147,-3.2374
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:35:00+00:00,fl,KMIA,69.8,0.0,4.9767,3.5507,-4.9767
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:40:00+00:00,il,KMDW,14.0,-0.0,2.5794,3.1941,-2.5794
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:40:00+00:00,fl,KMIA,69.8,-0.0,4.9465,3.6141,-4.9465
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:40:00+00:00,il,KMDW,14.0,-0.0,2.5794,3.1941,-2.5794
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:40:00+00:00,fl,KMIA,69.8,-0.0,4.9465,3.6141,-4.9465
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:40:00+00:00,il,KMDW,14.0,-0.0,2.5794,3.1941,-2.5794
2026-01-29T17:35:00+00:00,tx,KAUS,60.8,4.32,5.8398,5.1285,-1.5198
2026-01-29T17:40:00+00:00,fl,KMIA,69.8,-0.0,4.9465,3.6141,-4.9465
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:45:00+00:00,il,KMDW,14.0,-0.0,2.476,3.0728,-2.476
2026-01-29T17:45:00+00:00,fl,KMIA,69.8,0.0,4.6871,3.4337,-4.6871
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:45:00+00:00,il,KMDW,14.0,-0.0,2.476,3.0728,-2.476
2026-01-29T17:50:00+00:00,tx,KAUS,62.6,6.48,5.4055,5.1846,1.0745
2026-01-29T17:45:00+00:00,fl,KMIA,69.8,0.0,4.6871,3.4337,-4.6871
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:45:00+00:00,il,KMDW,14.0,-0.0,2.476,3.0728,-2.476
2026-01-29T17:50:00+00:00,tx,KAUS,62.6,6.48,5.4055,5.1846,1.0745
2026-01-29T17:45:00+00:00,fl,KMIA,69.8,0.0,4.6871,3.4337,-4.6871
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:50:00+00:00,il,KMDW,14.0,-0.0,2.27,2.8605,-2.27
2026-01-29T17:50:00+00:00,tx,KAUS,62.6,6.48,5.4055,5.1846,1.0745
2026-01-29T17:50:00+00:00,fl,KMIA,69.8,-0.0,4.2293,3.1395,-4.2293
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:50:00+00:00,il,KMDW,14.0,-0.0,2.27,2.8605,-2.27
2026-01-29T18:00:00+00:00,tx,KAUS,62.6,3.9736,4.8717,5.1527,-0.8981
2026-01-29T17:50:00+00:00,fl,KMIA,69.8,-0.0,4.2293,3.1395,-4.2293
2026-01-29T16:51:00+00:00,ny,KNYC,17.96,0.0,1.98,1.44,-1.98
2026-01-29T17:50:00+00:00,il,KMDW,14.0,-0.0,2.27,2.8605,-2.27
2026-01-29T18:00:00+00:00,tx,KAUS,62.6,3.9736,4.8717,5.1527,-0.8981
2026-01-29T17:50:00+00:00,fl,KMIA,69.8,-0.0,4.2293,3.1395,-4.2293
2026-01-29T17:51:00+00:00,ny,KNYC,19.94,0.0,1.98,1.98,-1.98
2026-01-29T18:05:00+00:00,il,KMDW,15.8,6.48,2.0176,2.8207,4.4624
2026-01-29T18:00:00+00:00,tx,KAUS,62.6,3.9736,4.8717,5.1527,-0.8981
2026-01-29T18:05:00+00:00,fl,KMIA,71.6,4.3342,2.0696,3.1572,2.2646
2026-01-29T17:51:00+00:00,ny,KNYC,19.94,0.0,1.98,1.98,-1.98
2026-01-29T18:05:00+00:00,il,KMDW,15.8,6.48,2.0176,2.8207,4.4624
2026-01-29T18:10:00+00:00,tx,KAUS,62.6,0.6499,3.7798,4.8378,-3.13
2026-01-29T18:05:00+00:00,fl,KMIA,71.6,4.3342,2.0696,3.1572,2.2646
2026-01-29T17:51:00+00:00,ny,KNYC,19.94,0.0,1.98,1.98,-1.98
2026-01-29T18:05:00+00:00,il,KMDW,15.8,6.48,2.0176,2.8207,4.4624
2026-01-29T18:10:00+00:00,tx,KAUS,62.6,0.6499,3.7798,4.8378,-3.13
2026-01-29T18:05:00+00:00,fl,KMIA,71.6,4.3342,2.0696,3.1572,2.2646
2026-01-29T17:51:00+00:00,ny,KNYC,19.94,0.0,1.98,1.98,-1.98
2026-01-29T18:10:00+00:00,tx,KAUS,62.6,0.6499,3.7798,4.8378,-3.13
