run_ts,as_of,city,window_days,weights_json
2026-01-28T06:30:03.947685-05:00,2026-01-27,il,14,"{""consensus"": 0.009114034077969676, ""google-weather"": 0.137351127671433, ""lstm"": 0.0029821633408473333, ""open-meteo"": 0.03067622744661368, ""openweathermap"": 0.17211944574735988, ""pirateweather"": 0.07924751755124466, ""tomorrow"": 0.13752637630135991, ""visual-crossing"": 0.38815444447295805, ""weather.gov"": 0.02267480416782833, ""weatherapi"": 0.020153859222385564}"
2026-01-28T06:30:03.947685-05:00,2026-01-27,tx,14,"{""consensus"": 0.2562253111728049, ""google-weather"": 0.28035347856854176, ""lstm"": 0.007565593735575008, ""open-meteo"": 0.002062473405405644, ""openweathermap"": 0.017872835048202872, ""pirateweather"": 0.010595686575028627, ""tomorrow"": 0.02717746939528025, ""visual-crossing"": 0.32959925656340094, ""weather.gov"": 0.01303457803751828, ""weatherapi"": 0.055513317498241704}"
2026-01-28T06:30:03.947685-05:00,2026-01-27,fl,14,"{""consensus"": 0.09659001325983146, ""google-weather"": 0.14881858826304323, ""lstm"": 0.04558372365296598, ""open-meteo"": 0.00179582811700095, ""openweathermap"": 0.13305031480429086, ""pirateweather"": 0.059639179948057765, ""tomorrow"": 0.03455151508245219, ""visual-crossing"": 0.2752548608513247, ""weather.gov"": 0.02618032464230779, ""weatherapi"": 0.17853565137872504}"
2026-01-29T02:15:38.586538-05:00,2026-01-28,ny,14,"{""consensus"": 0.037939946757638315, ""google-weather"": 0.3475723241176963, ""lstm"": 0.005058396466740075, ""open-meteo"": 0.004314683902493423, ""openweathermap"": 0.1558198568586664, ""pirateweather"": 0.06925326971496285, ""tomorrow"": 0.13272528504264278, ""visual-crossing"": 0.12405199841629375, ""weather.gov"": 0.04685727158422939, ""weatherapi"": 0.07640696713863689}"
2026-01-29T02:15:38.586538-05:00,2026-01-28,il,14,"{""consensus"": 0.00929291998304425, ""google-weather"": 0.16003034309721068, ""lstm"": 0.002862039515016385, ""open-meteo"": 0.029440565485220057, ""openweathermap"": 0.18581808499599067, ""pirateweather"": 0.05640828154736059, ""tomorrow"": 0.14138295330710043, ""visual-crossing"": 0.37251928584676086, ""weather.gov"": 0.020238575741861997, ""weatherapi"": 0.022006950480434134}"
2026-01-29T02:15:38.586538-05:00,2026-01-28,tx,14,"{""consensus"": 0.2562253111728049, ""google-weather"": 0.28035347856854176, ""lstm"": 0.007565593735575008, ""open-meteo"": 0.002062473405405644, ""openweathermap"": 0.017872835048202872, ""pirateweather"": 0.010595686575028627, ""tomorrow"": 0.02717746939528025, ""visual-crossing"": 0.32959925656340094, ""weather.gov"": 0.01303457803751828, ""weatherapi"": 0.055513317498241704}"
2026-01-29T02:15:38.586538-05:00,2026-01-28,fl,14,"{""consensus"": 0.09659001325983146, ""google-weather"": 0.14881858826304323, ""lstm"": 0.04558372365296598, ""open-meteo"": 0.00179582811700095, ""openweathermap"": 0.13305031480429086, ""pirateweather"": 0.059639179948057765, ""tomorrow"": 0.03455151508245219, ""visual-crossing"": 0.2752548608513247, ""weather.gov"": 0.02618032464230779, ""weatherapi"": 0.17853565137872504}"
2026-01-29T02:15:38.692501-05:00,2026-01-28,ny,14,"{""consensus"": 0.03931422867073344, ""google-weather"": 0.3437943442368369, ""lstm"": 0.005212419310696191, ""open-meteo"": 0.00444606148228641, ""openweathermap"": 0.14529293003806049, ""pirateweather"": 0.08543129210264346, ""tomorrow"": 0.12864686122938773, ""visual-crossing"": 0.12782925109313478, ""weather.gov"": 0.05012715402325267, ""weatherapi"": 0.06990545781296803}"
2026-01-29T02:15:38.692501-05:00,2026-01-28,il,14,"{""consensus"": 0.009114034077969676, ""google-weather"": 0.137351127671433, ""lstm"": 0.0029821633408473333, ""open-meteo"": 0.03067622744661368, ""openweathermap"": 0.17211944574735988, ""pirateweather"": 0.07924751755124466, ""tomorrow"": 0.13752637630135991, ""visual-crossing"": 0.38815444447295805, ""weather.gov"": 0.02267480416782833, ""weatherapi"": 0.020153859222385564}"
2026-01-29T02:15:38.692501-05:00,2026-01-28,tx,14,"{""consensus"": 0.2562253111728049, ""google-weather"": 0.28035347856854176, ""lstm"": 0.007565593735575008, ""open-meteo"": 0.002062473405405644, ""openweathermap"": 0.017872835048202872, ""pirateweather"": 0.010595686575028627, ""tomorrow"": 0.02717746939528025, ""visual-crossing"": 0.32959925656340094, ""weather.gov"": 0.01303457803751828, ""weatherapi"": 0.055513317498241704}"
2026-01-29T02:15:38.692501-05:00,2026-01-28,fl,14,"{""consensus"": 0.09659001325983146, ""google-weather"": 0.14881858826304323, ""lstm"": 0.04558372365296598, ""open-meteo"": 0.00179582811700095, ""openweathermap"": 0.13305031480429086, ""pirateweather"": 0.059639179948057765, ""tomorrow"": 0.03455151508245219, ""visual-crossing"": 0.2752548608513247, ""weather.gov"": 0.02618032464230779, ""weatherapi"": 0.17853565137872504}"
2026-01-29T06:30:02.990714-05:00,2026-01-28,ny,14,"{""consensus"": 0.03530692056587303, ""google-weather"": 0.3462799533549355, ""lstm"": 0.004752100874302741, ""open-meteo"": 0.003223354877413436, ""openweathermap"": 0.17499884870200078, ""pirateweather"": 0.04976346099090232, ""tomorrow"": 0.13868187682728192, ""visual-crossing"": 0.11654041236371983, ""weather.gov"": 0.04141839359524214, ""weatherapi"": 0.08903467784832839}"
2026-01-29T06:30:02.990714-05:00,2026-01-28,il,14,"{""consensus"": 0.009483553421991359, ""google-weather"": 0.20213264125183344, ""lstm"": 0.0026234721477390007, ""open-meteo"": 0.011223958977884389, ""openweathermap"": 0.21076100747360674, ""pirateweather"": 0.034103441928194186, ""tomorrow"": 0.14614303377950424, ""visual-crossing"": 0.34146767219215196, ""weather.gov"": 0.01653034123704416, ""weatherapi"": 0.025530877590050433}"
2026-01-29T06:30:02.990714-05:00,2026-01-28,tx,14,"{""consensus"": 0.13214409760694862, ""google-weather"": 0.4361217507498444, ""lstm"": 0.006805745027995211, ""open-meteo"": 0.0018553293521707962, ""openweathermap"": 0.0189487640198821, ""pirateweather"": 0.007810363461339221, ""tomorrow"": 0.030407073545859222, ""visual-crossing"": 0.2964960292593343, ""weather.gov"": 0.009596329152044683, ""weatherapi"": 0.05981451782458133}"
2026-01-29T06:30:02.990714-05:00,2026-01-28,fl,14,"{""consensus"": 0.09846912805954991, ""google-weather"": 0.17310893343875589, ""lstm"": 0.040142875564651466, ""open-meteo"": 0.0015814790644375289, ""openweathermap"": 0.12545965148237792, ""pirateweather"": 0.05519116095489552, ""tomorrow"": 0.04069113380172083, ""visual-crossing"": 0.24240059262910232, ""weather.gov"": 0.025200555284200434, ""weatherapi"": 0.19775448972030824}"
